Время;Координата 2;Координата 1;Доля честных;Средняя зп, тыс;Трудоспособное нас, тыс. чел;Рабочие места, тыс.;Безработица, ;Цена жилья, тыс.руб;Время Авт/Эл *100;Время Маш/Эл *100;Цена Авт/Эл * 100;Потоки Эл/Маш, %
12:00;38.0136072318;55.9161832854;57;21;15.3;3.3;68;71.2;28;17;132;68
12:00;37.4596541267;56.0197436165;51;29.3;64.8;27.9;47;71.8;87;113;103;111
12:00;37.8429728436;56.0089442655;57;25.8;37.1;9.1;65;65.1;101;90;99;23
12:00;37.6920276773;55.5476661014;64;28.9;142.6;30.9;68;74.9;107;148;103;1227
12:00;37.85836576;55.915051217;48;25.9;44.5;16;54;55.4;114;105;96;178
12:00;37.9284443127;55.9751184399;38;26.5;26.6;11.2;48;41.7;115;72;113;152
12:00;39.5332735022;55.5707475508;51;33.6;71.1;28.1;50;66.9;115;143;50;64
12:00;38.780781711;55.0879323423;33;18.8;7.3;2.5;55;40.5;124;81;96;211
12:00;35.512829817;56.029209248;51;20.9;13.6;2.5;71;55.3;126;149;107;0
12:00;;;52;21;35.3;10.9;59;68.3;127;108;104;61
12:00;37.3284635797;55.8214355802;64;24.7;83.3;13.7;74;71.1;127;121;105;52
12:00;38.4543299965;55.7812397652;49;20.9;76;21.1;62;44.4;131;92;61;9
12:00;36.8536392355;55.9136622239;45;25.2;64.3;29;45;51.9;131;96;84;67
12:00;36.7278418108;55.3925353041;51;32.9;118.8;50;48;68.1;131;107;122;175
12:00;37.9003475846;55.6821186711;64;32;36.4;21.7;30;88.3;132;128;198;225
12:00;37.9451848593;55.6499747855;60;24.2;48.3;23.2;42;53.5;133;103;66;32
12:00;38.2199423504;55.5728610568;64;32.4;74.7;30;50;94.6;133;181;103;77
12:00;37.7507071198;55.9201253323;48;19.2;15.3;8.1;37;44.8;138;77;101;222
12:00;39.0267296;54.9620512;60;24.9;97.9;36.6;53;51.9;140;110;102;248
12:00;38.785575144;55.878904828;64;29.6;55.1;18.1;57;95.1;140;114;107;251
12:00;38.250933211;55.4195123393;64;32.5;114.5;52.5;44;87.1;140;237;83;107
12:00;38.0070419812;55.6435135407;60;22.8;10.4;4.2;50;57.6;141;110;107;290
12:00;37.9584195243;55.8139421876;51;38;85.5;56.2;24;73.4;141;127;99;224
12:00;37.5553428156;55.5019506103;60;30;22.5;11.5;39;69.2;144;111;92;75
12:00;37.7583500782;55.444344497;33;29.7;18.8;13.6;18;45.9;146;85;86;800
12:00;37.5450408604;55.4391730731;64;29.1;108.6;29.7;63;79.9;146;140;140;59
12:00;37.1793255877;56.7417404985;38;23.5;14.2;4.6;58;42.6;148;116;80;71
12:00;38.2199423504;55.5728610568;60;21.1;16.6;5;60;60.5;150;123;89;1573
12:00;38.1921721086;55.8415494299;52;14.7;14.5;3.1;68;65.6;156;83;76;50
12:00;38.1089688021;55.592399863;38;23.8;91.2;42.8;43;50.2;156;86;79;30
12:00;37.5244636256;56.3468951684;45;19.3;40.2;12.5;59;46;156;113;95;7
12:00;38.7361102495;55.2836036503;45;21.6;79.6;21.9;62;48.6;157;99;118;47
12:00;37.4116890133;54.9232477344;45;34.3;47.8;25.9;36;54.7;159;95;57;12
12:00;37.5272682236;55.3658915104;38;19.2;27.9;12.8;44;44.8;160;86;103;13
12:00;38.1393828625;56.1122447369;64;25.8;91.4;24.3;63;86.5;163;203;186;29
12:00;37.506520279;55.9411195255;60;18.2;13.3;4.8;54;53.9;164;108;112;1218
12:00;36.0127138926;55.5044967164;41;24.5;25.1;11.5;44;40;164;129;92;38
12:00;38.2199423504;55.5728610568;64;36.4;115.5;56.1;41;82;166;182;95;51
12:00;38.9746591446;55.8035240499;45;22.5;74;27.2;53;0;168;110;63;19
12:00;38.4535831205;55.8601986231;57;25.4;64.8;15.9;65;71.8;168;142;83;1
12:00;36.8661385 ;55.7313307;45;23.3;42.3;13.3;58;60;169;86;65;102
12:00;35.9451959377;56.0466260897;57;26;20.7;5.5;63;78.7;170;147;140;725
12:00;37.865943468;55.7631078536;51;34.9;11.5;1.8;74;0;178;130;171;3
12:00;38.1557421805;54.838858137;45;21.5;38.2;14.5;52;62;181;108;94;98
12:00;38.2084548322;55.7191059704;57;54;47.1;22.1;43;73.7;188;171;79;32
12:00;37.9956812496;55.7442138411;64;32.8;57.5;16.4;61;83.4;191;168;88;52
12:00;37.2708119731;55.6705400741;49;22.1;59.2;22.9;51;44.1;;105;;101
12:00;37.4273602005;55.1532456222;51;26.5;62.3;26;48;64.1;;173;;21
12:00;38.1042944516;54.885506576;64;29;20.8;3.8;72;77.2;;;;11
